	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory.Tregs.	T.cells.gamma.delta	NK.cells.resting	Macrophages.M1	GEP	IMPRES	SZABO	TIDE	TMB	TCR_Richness	TCR_Evenness	TCR_Shannon	BCR_Richness	BCR_Evenness	BCR_Shannon
TCGA.39.5021.01A	0	0	0.000760218790975367	0.000685961186276732	0	0.000489984127674307	1.90736468266217e-05	0.000159022275281217	0	0	0.00117381871432718	23.5085246792981	8	0.705886378817317	-3.26145527638545	213	1	1	1	1	1	1
TCGA.39.5037.01A	9.20489974383425e-06	0	5.71645766464597e-06	0	0.000100420184309667	0	0	0	0	0	0	6.91715473027768	9	-1.35155034924508	-2.88252364442511	320	1	1	1	1	1	1
TCGA.43.2576.01A	0	0.00017758157981669	0.000973674315914708	0.000349487543745299	0	5.99087033687989e-05	0.000631333612326649	0.000587721618044415	0	3.12776277942806e-05	0.000566607135913154	22.6451833935449	7	-0.0456743151018037	-2.68955477993549	681	1	1	1	1	1	1
TCGA.43.8115.01A	0	0	1.77678714348793e-06	0.00193418473390302	0	0.000531736373453094	0.000578853588160143	0.000597872530926606	0	0	0.000603895644303877	26.2908269169008	10	0.927454973705334	-2.56773504505324	266	1	1	1	1	1	1
TCGA.43.A474.01A	0	0	5.11072451217067e-05	0	2.59406281622407e-05	0	3.98614674214565e-05	0	0	0	2.8820514428834e-05	5.98180941400861	8	-1.4994570644152	-2.45065045126983	500	1	1	1	1	1	1
TCGA.43.A475.01A	0	0	0	0.00484910442900019	0	0.00105338997636665	0	7.45111875297751e-05	0	0	0.00230056893486858	30.9798900967322	10	1.96435609414278	-2.43449280753221	323	1	1	1	1	1	1
TCGA.43.A56V.01A	0	0.000155644833003059	0.000252355214850061	0	0	0	0.000171578683685012	0	0	0	0.000282601817483098	14.1285552937712	9	-0.793231834003703	-2.40445840253405	291	1	1	1	1	1	1
TCGA.46.3768.01A	5.75984364384049e-05	0	2.28342725899219e-05	1.06100644574521e-05	0	0	0.000136891349136138	0	0	9.14723585295637e-06	9.48151382755582e-05	15.9388103208219	7	-0.515822846660364	-2.36872674247661	388	1	1	1	1	1	1
TCGA.46.3769.01A	0	0	0.000864743061190989	0.000917356777701088	0	0.000231249707438732	0	0.000409388689549656	0	0	0.000542739681936594	23.7138614412026	8	0.626147775378716	-2.35792460038192	1251	1	1	1	1	1	1
TCGA.46.6025.01A	0	0	0.00015716470648879	0	0	0.000156045207453645	9.66069516067691e-05	0	0	1.85476467254488e-05	0.000324408907872733	17.8348298433037	9	0.441186608585382	-2.32636806898694	276	1	1	1	1	1	1
TCGA.51.4081.01A	0	0	9.88029601207094e-05	0	0	0	0.000111387823104442	0	0	0	2.32234338911892e-05	11.1776656550009	6	-1.36992231085271	-2.24637571068191	262	1	1	1	1	1	1
